detector_jitter_ps,frequency_detuning_ghz,gate_label,full_erasure_probability,model,distance,shots,failures_any,failures_a,failures_b,failures_both,logical_error_rate_any,logical_error_rate_a,logical_error_rate_b,logical_error_rate_both,any_ci_low,any_ci_high,failure_phi,seed,channel_name,decoder_channel_name,model_label
0.0,0.6,no_filter,0.009974999999999956,full_correlated,5,3000,666,351,360,45,0.222,0.117,0.12,0.015,0.20748931562593792,0.23722172426534333,0.009191068254825858,20269001,idea2_j0_d0.6_no_filter,idea2_j0_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.6,no_filter,0.009974999999999956,matched_independent,5,3000,652,335,369,52,0.21733333333333332,0.11166666666666666,0.123,0.017333333333333333,0.2029414394813569,0.23244820299802738,0.034785582809143546,20269002,idea2_j0_d0.6_no_filter__independent,idea2_j0_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.6,220_ps,0.01940944403246681,full_correlated,5,3000,737,402,386,51,0.24566666666666667,0.134,0.12866666666666668,0.017,0.23059402868213477,0.26138981236948106,-0.002115830031277682,20269011,idea2_j0_d0.6_220_ps,idea2_j0_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.6,220_ps,0.01940944403246681,matched_independent,5,3000,772,397,433,58,0.25733333333333336,0.13233333333333333,0.14433333333333334,0.019333333333333334,0.24200714652952512,0.27328018805183313,0.0019584983889412927,20269012,idea2_j0_d0.6_220_ps__independent,idea2_j0_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.6,140_ps,0.107900599314583,full_correlated,5,3000,1952,1202,1225,475,0.6506666666666666,0.40066666666666667,0.4083333333333333,0.15833333333333333,0.6334235066690905,0.6675244669150111,-0.021888798140171313,20269021,idea2_j0_d0.6_140_ps,idea2_j0_d0.6_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.6,140_ps,0.107900599314583,matched_independent,5,3000,1955,1208,1250,503,0.6516666666666666,0.4026666666666667,0.4166666666666667,0.16766666666666666,0.6344335551393337,0.6685118607473174,-0.0004595401898704509,20269022,idea2_j0_d0.6_140_ps__independent,idea2_j0_d0.6_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.6,40_ps,0.6411492123846867,full_correlated,5,3000,2245,1468,1538,761,0.7483333333333333,0.48933333333333334,0.5126666666666667,0.25366666666666665,0.7324932801972471,0.763538224935841,0.011213261010683463,20269031,idea2_j0_d0.6_40_ps,idea2_j0_d0.6_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.6,40_ps,0.6411492123846867,matched_independent,5,3000,2287,1544,1482,739,0.7623333333333333,0.5146666666666667,0.494,0.24633333333333332,0.7467723462282613,0.7772233511405177,-0.03166390434903329,20269032,idea2_j0_d0.6_40_ps__independent,idea2_j0_d0.6_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.9,no_filter,0.009974999999999956,full_correlated,5,3000,2035,1283,1313,561,0.6783333333333333,0.42766666666666664,0.43766666666666665,0.187,0.6613991877116769,0.6948113562429568,-0.0007148151523151198,20269041,idea2_j0_d0.9_no_filter,idea2_j0_d0.9_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
0.0,0.9,no_filter,0.009974999999999956,matched_independent,5,3000,2073,1351,1339,617,0.691,0.4503333333333333,0.44633333333333336,0.20566666666666666,0.6742294528336746,0.7072820269532508,0.0188733899117215,20269042,idea2_j0_d0.9_no_filter__independent,idea2_j0_d0.9_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
